Simulation_ID-0_NAME-TEST
Particle Count: 9
0.0,0.0,0.0_0.0,0.0,0.0_1836.15_1;1.0,0.0,0.0_0.0,0.0,0.0_1836.15_1;0.0,0.0,1.0_0.0,0.0,0.0_1836.15_1;0.0,2.0,0.0_0.0,0.0,0.0_1836.15_1;3.0,1.5,4.0_0.0,0.0,0.0_1836.15_1;-0.67,1.0,0.0_0.0,0.0,0.0_1836.15_-1;0.0,-1.0,0.0_0.0,0.0,0.0_1836.15_-1;1.0,3.0,0.0_0.0,0.0,0.0_1836.15_-1;-2.0,0.0,1.0_0.0,0.0,0.0_1836.15_-1;
-0.027574329367226723,-0.010790528054495202,-0.016610495990904927_-0.004549244692568893,-0.0018191708137679143,-0.0027316878069997886_1836.15_1;1.0131281116471809,-0.005376181322402314,-0.006373602305094269_0.0021416558810501713,-8.938151695218041E-4,-0.0010488448465137748_1836.15_1;-0.013974884457341498,-0.0036588472077254855,1.0135073708269462_-0.0023133706919365453,-6.044138323435705E-4,0.002209732089519797_1836.15_1;-0.003861632795060154,2.003640946574932,-0.001489624786999311_-6.36186501838646E-4,5.964343608819037E-4,-2.4562089881195113E-4_1836.15_1;3.000266551128136,1.50049142541278,4.0005580595998245_4.4196593347820463E-5,8.181294699619779E-5,9.254358021030662E-5_1836.15_1;-0.6483576126361436,0.9971190239355765,0.002659041804966492_0.0035965683781009573,-4.891730097758173E-4,4.405373048953146E-4_1836.15_-1;0.010051766647480923,-0.9729203206145577,0.005504770196836054_0.00166299059913914,0.004545031038485666,9.117757168250572E-4_1836.15_-1;0.9955163579862423,2.9919246438922262,9.556570784848488E-4_-7.494159462522297E-4,-0.0013449279000863482,1.5858094991288307E-4_1836.15_-1;-1.9951943281532682,-4.301626163346557E-4,1.0012888235759414_8.028063809582246E-4,-7.177762086831607E-5,2.1298391096215643E-4_1836.15_-1;
-0.03251577566307244,-0.012784697209458046,-0.019573694577002393_-0.004941446295845721,-0.001994169154962843,-0.0029631985860974646_1836.15_1;1.015443839305651,-0.006350271479532599,-0.007511854426642525_0.002315727658470293,-9.740901571302851E-4,-0.0011382521215482565_1836.15_1;-0.016491517345877314,-0.00431577457299129,1.0158994370827699_-0.0025166328885358165,-6.569273652658049E-4,0.0023920662558237524_1836.15_1;-0.004552237370506181,2.004286888407759,-0.0017563694721559801_-6.906045754460272E-4,6.459418328270041E-4,-2.667446851566692E-4_1836.15_1;3.000314661363018,1.5005806344884245,4.000658803915443_4.811023488227564E-5,8.920907564462811E-5,1.0074431561906067E-4_1836.15_1;-0.6444390903580393,0.9965813395444115,0.0031383731769345346_0.003918522278104271,-5.376843911649785E-4,4.793313719680427E-4_1836.15_-1;0.011859976881806305,-0.9679474996113677,0.006496625920840524_0.0018082102343253813,0.004972821003190007,9.918557240044701E-4_1836.15_-1;0.9946978338920857,2.990457893133616,0.0011283372653231893_-8.185240941565845E-4,-0.0014667507586099483,1.7268018683834057E-4_1836.15_-1;-1.9943176907050664,-5.085127008624382E-4,1.0015203411144902_8.766374482019267E-4,-7.835008452778254E-5,2.3151753854872378E-4_1836.15_-1;
-0.03784374355036934,-0.014956460361638125,-0.022763972650788347_-0.005327967887296901,-0.002171763152180079,-0.0031902780737859543_1836.15_1;1.0179285301684413,-0.007404394984168375,-0.008738056067635709_0.002484690862790288,-0.0010541235046357767,-0.0012262016409931831_1836.15_1;-0.019209653499481227,-0.00502459422936209,1.0184691975321452_-0.002718136153603913,-7.088196563707996E-4,0.002569760449375354_1836.15_1;-0.005296351020275723,2.0049811227508543,-0.0020439254579273296_-7.44113649769542E-4,6.942343430954651E-4,-2.875559857713495E-4_1836.15_1;3.000366658079845,1.5006772290198236,4.0007676938168775_5.1996716827059416E-5,9.659453139902074E-5,1.0888990143471394E-4_1836.15_1;-0.6402000391531801,0.99599413129092,0.0036561440209321935_0.004239051204859142,-5.87208253491559E-4,5.177708439976587E-4_1836.15_-1;0.013811655017144745,-0.9625430178484922,0.007567707717372581_0.00195167813533844,0.00540448176287561,0.0010710817965320575_1836.15_-1;0.9938099449781442,2.988869436849261,0.0013150339151875416_-8.878889139414636E-4,-0.0015884562843551792,1.8669664986435228E-4_1836.15_-1;-1.9933670010202695,-5.934524871991433E-4,1.0017701771738365_9.506896847968896E-4,-8.493978633670512E-5,2.4983605934635045E-4_1836.15_-1;
-0.04355202378320603,-0.017308667101101273,-0.026176508708985347_-0.005708280232836692,-0.0023522067394631486,-0.003412536058197_1836.15_1;1.0205767537453228,-0.008538294792687022,-0.010050662665160262_0.002648223576881368,-0.0011338998085186464,-0.0013126065975245526_1836.15_1;-0.022127417278151425,-0.005784637797346883,1.0212117038275665_-0.002917763778670197,-7.600435679847933E-4,0.002742506295421346_1836.15_1;-0.0060929817422985255,2.0057223399123307,-0.002351955080871802_-7.966307220228021E-4,7.41217161476601E-4,-3.080296229444724E-4_1836.15_1;3.0004225118698535,1.5007811975012553,4.000884669659662_5.585379000860395E-5,1.0396848143161355E-4,1.1697584278490606E-4_1836.15_1;-0.6356420521603586,0.9953563225017793,0.004211959608084496_0.004557986992821469,-6.378087891406407E-4,5.558155871523029E-4_1836.15_-1;0.015904816277949277,-0.9567026603176034,0.00871703679386675_0.0020931612608045304,0.005840357530888744,0.0011493290764941677_1836.15_-1;0.9928524126845361,2.9871594028217223,0.0015156573501449637_-9.575322936081483E-4,-0.0017100340275385195,2.0062343495742208E-4_1836.15_-1;-1.9923420196136477,-6.850027283503556E-4,1.0020380992156923_0.0010249814066218676,-9.155024115121234E-5,2.679220418558797E-4_1836.15_-1;
-0.049633858300660263,-0.019844430567842804,-0.029806084131778175_-0.00608183451745423,-0.002535763466741531,-0.0036295754227928276_1836.15_1;1.0233827777373559,-0.009751698952521166,-0.011448049241140224_0.0028060239920331197,-0.0012134041598341446,-0.001397386575979963_1836.15_1;-0.025242822020328175,-0.006595190342150031,1.0241217155667193_-0.0031154047421767506,-8.105525448031478E-4,0.002910011739152682_1836.15_1;-0.006941052843283613,2.00650913724211,-0.002680095732305986_-8.480711009850871E-4,7.867973297793708E-4,-3.28140651434184E-4_1836.15_1;3.000482191079207,1.5008925276091032,4.001009667329867_5.967920935347458E-5,1.1133010784796296E-4,1.249976702045235E-4_1836.15_1;-0.630766902363451,0.9946667787318457,0.004805383008764404_0.004875149796907674,-6.895437699336053E-4,5.934234006799078E-4_1836.15_-1;0.018137218997643728,-0.9504218649409443,0.009943494786290585_0.0022324027196944495,0.006280795376659102,0.0012264579924238365_1836.15_-1;0.9918249364372352,2.985327929427413,0.0017301109885295737_-0.0010274762473008066,-0.0018314733943090749,2.1445363838460993E-4_1836.15_-1;-1.9912424887237195,-7.831882070152903E-4,1.0023238574250537_0.0010995308899281566,-9.818547866493468E-5,2.8575820936141476E-4_1836.15_-1;
-0.056081916998498606,-0.02256713777244942,-0.0336470750178117_-0.006448058697838341,-0.0027227072046066177,-0.0038409908860335294_1836.15_1;1.0263405881311518,-0.011044320908004317,-0.012928516675993401_0.002957810393795849,-0.0012926219554831525,-0.0014804674348531765_1836.15_1;-0.02855377569440953,-0.007455490813821614,1.0271937170424674_-0.003310953674081355,-8.603004716715824E-4,0.003072001475748095_1836.15_1;-0.007839401146832459,2.007340021117542,-0.0030279601185636347_-8.983483035488453E-4,8.308838754322533E-4,-3.4786438625764835E-4_1836.15_1;3.000545661813707,1.5010112062184977,4.001142618271976_6.347073450029533E-5,1.1867860939450158E-4,1.329509421092078E-4_1836.15_1;-0.6255765550095539,0.993924315284994,0.005435933074736443_0.0051903473538971075,-7.424634468517154E-4,6.305500659720394E-4_1836.15_-1;0.020506337754538806,-0.9436957206156721,0.01124580718560009_0.0023691187568950778,0.006726144325272182,0.0013023123993095036_1836.15_-1;0.9907271935096726,2.983375165784936,0.001958291345939249_-0.001097742927562588,-0.0019527636424771918,2.2818035740967545E-4_1836.15_-1;-1.9900681323597766,-8.880382960239707E-4,1.0026271848916495_0.0011743563639427998,-1.0485008900868036E-4,3.0332746659583265E-4_1836.15_-1;
-0.06288827049077908,-0.025480460463394652,-0.03769344260135544_-0.006806353492280479,-0.0029133226909452328,-0.004046367583543736_1836.15_1;1.0294439090588519,-0.01241585957452279,-0.014490297784907296_0.003103320927699961,-0.001371538666518473,-0.0015617811089138952_1836.15_1;-0.03205808645338452,-0.008364732310974598,1.0304219342971856_-0.003504310758974989,-9.092414971529851E-4,0.0032282172547183252_1836.15_1;-0.008786775107230098,2.0082134091580426,-0.0033951365512769308_-9.47373960397639E-4,8.733880405004548E-4,-3.6717643271329617E-4_1836.15_1;3.0006128879441976,1.5011372194218064,4.001283449519393_6.722613049046358E-5,1.2601320330873914E-4,1.4083124741739818E-4_1836.15_1;-0.6200731806816461,0.9931277059634045,0.006103082528768132_0.0055033743279078,-7.966093215894871E-4,6.671494540316884E-4_1836.15_-1;0.023009333215603434,-0.9365189665348616,0.01262252473334961_0.002502995461064628,0.007176754080810575,0.0013767175477495206_1836.15_-1;0.9895588388714791,2.981301271906084,0.002200088037068887_-0.0011683546381935426,-0.002073893878852238,2.4179669112963794E-4_1836.15_-1;-1.9888186563570929,-9.995875655853257E-4,1.0029477978217738_0.001249476002683799,-1.1154926956135491E-4,3.2061293012435597E-4_1836.15_-1;
-0.07004435851139226,-0.028588366306887665,-0.04193872208911592_-0.007156088020613189,-0.003107905843493013,-0.004245279487760484_1836.15_1;1.0326862222215751,-0.013865999136039522,-0.01613156312637535_0.003242313162723273,-0.0014501395615167327,-0.0016412653414680511_1836.15_1;-0.03575346803860345,-0.00932206213335581,1.0338003523634662_-0.0036953815852189356,-9.573298223812116E-4,0.003378418066280583_1836.15_1;-0.009781832839819761,2.009127632684419,-0.0037811892700553946_-9.950577325896633E-4,9.142235263765201E-4,-3.860527187784638E-4_1836.15_1;3.000683831112746,1.5012705525491343,4.001432083727737_7.094316854840084E-5,1.3333312732796948E-4,1.4863420834361127E-4_1836.15_1;-0.6142591689178131,0.9922756931758806,0.006806256227543946_0.005814011763832995,-8.520127875238385E-4,7.031736987758138E-4_1836.15_-1;0.025643018390671245,-0.928885993242321,0.014072002603628531_0.0026336851750678103,0.007632973292540497,0.0014494778702789212_1836.15_-1;0.9883195050237135,2.9791064188477456,0.002455383778526647_-0.00123933384776566,-0.0021948530583383117,2.552957414577604E-4_1836.15_-1;-1.987493748441078,-0.0011178764385772072,1.0032853957846442_0.0013249079160149693,-1.182888729918816E-4,3.37597962870307E-4_1836.15_-1;
-0.07754095362705973,-0.03189513005016278,-0.04637600975258055_-0.007496595115667465,-0.0033067637432751124,-0.004437287663464626_1836.15_1;1.0360607856947182,-0.015394408518757832,-0.017850426481967243_0.003374563473143124,-0.0015284093827183092,-0.001718863355591893_1836.15_1;-0.039637544987316864,-0.01032658158822883,1.03732273258287_-0.003884076948713413,-0.0010045194548730205,0.0035223802194036796_1836.15_1;-0.010823140080835913,2.010080939438546,-0.004185658800061197_-0.0010413072410161521,9.533067541269368E-4,-4.044695300058026E-4_1836.15_1;3.00075845073971,1.5014111901910072,4.001588439211125_7.461962696342585E-5,1.4063764187298458E-4,1.5635548338831842E-4_1836.15_1;-0.608137142241701,0.9913669995345797,0.007544829671123343_0.006122026676112056,-9.086936413008761E-4,7.385734435793974E-4_1836.15_-1;0.02840382098370694,-0.920790845974685,0.01559237717882245_0.002760802593035693,0.00809514726763602,0.0015203745751939187_1836.15_-1;0.9870088018198602,2.976790788862802,0.0027240543927843424_-0.0013107032038532957,-0.0023156299849435877,2.6867061425769526E-4_1836.15_-1;-1.986093078301082,-0.0012429518951022444,1.0036396619978836_0.0014006701399960292,-1.2507545652503738E-4,3.5426621323931054E-4_1836.15_-1;
-0.0853681199651932,-0.035405344221735274,-0.05099794811464053_-0.007827166338133467,-0.0035102141715724943,-0.0046219383620599765_1836.15_1;1.0395606519563572,-0.017000740490953074,-0.019644949956184796_0.003499866261638984,-0.0016063319721952424,-0.0017945234742175545_1836.15_1;-0.04370785760815277,-0.011377345515351486,1.0409826299057279_-0.004070312620835905,-0.0010507639271226566,0.0036598973228579245_1836.15_1;-0.011909168091723248,2.011071496578704,-0.004608062347076616_-0.0010860280108873361,9.905571401583495E-4,-4.224035470154189E-4_1836.15_1;3.0008367040317965,1.501559116223431,4.001752429981678_7.825329208687958E-5,1.4792603242373621E-4,1.6399077055268303E-4_1836.15_1;-0.6017099704381595,0.9904003410637456,0.008318127839238165_0.0064271718035415195,-9.666584708340897E-4,7.732981681148225E-4_1836.15_-1;0.03128774151771975,-0.912227230958286,0.017181540220626828_0.00288392053401281,0.008563615016398981,0.0015891630418043772_1836.15_-1;0.9856263162718193,2.9743545755479355,0.0030059688134163316_-0.0013824855480408383,-0.0024362133148664957,2.819144206319891E-4_1836.15_-1;-1.9846162976744646,-0.0013748682274923357,1.0040102636572148_0.0014767806266173561,-1.3191633239009127E-4,3.7060165933115193E-4_1836.15_-1;
