Simulation_ID-0_NAME-TEST
Particle Count: 4
1.0,0.0,0.0_0.0,0.0,0.0_1836.15_1_false;-1.0,0.0,0.0_0.0,0.0,0.0_1836.15_1_false;2.0,0.0,0.0_0.0,0.065,0.0_1.0_-1_false;-2.0,0.0,0.0_0.0,0.065,0.0_1.0_-1_false;
1.0002029205830871,4.314676975239116E-5,0.0_3.32631390483322E-5,1.1032817804272102E-5,0.0_1836.15_1_false;-1.0002029205830871,4.3146769752391164E-5,0.0_-3.32631390483322E-5,1.1032817804272102E-5,0.0_1836.15_1_false;1.656545798312618,0.635776058719147,0.0_-0.05629979671924154,0.04474209158868577,0.0_1.0_-1_false;-1.656545798312618,0.635776058719147,0.0_0.05629979671924154,0.04474209158868578,0.0_1.0_-1_false;
1.0002388519853351,5.653359869422192E-5,0.0_3.5931402248085405E-5,1.338682894183076E-5,0.0_1836.15_1_false;-1.0002388519853351,5.653359869422193E-5,0.0_-3.5931402248085405E-5,1.338682894183076E-5,0.0_1836.15_1_false;1.5957484319071136,0.6761958327576044,0.0_-0.0607973664055043,0.04041977403845744,0.0_1.0_-1_false;-1.5957484319071136,0.6761958327576044,0.0_0.0607973664055043,0.040419774038457444,0.0_1.0_-1_false;
1.0002773147250892,7.253305983567947E-5,0.0_3.8462739754157066E-5,1.5999461141457546E-5,0.0_1836.15_1_false;-1.0002773147250892,7.253305983567948E-5,0.0_-3.8462739754157066E-5,1.599946114145755E-5,0.0_1836.15_1_false;1.5306987027455652,0.7118184221827171,0.0_-0.06504972916154829,0.035622589425112705,0.0_1.0_-1_false;-1.5306987027455652,0.7118184221827172,0.0_0.0650497291615483,0.03562258942511271,0.0_1.0_-1_false;
1.0003181437809185,9.141029135184236E-5,0.0_4.0829055829295415E-5,1.88772315161629E-5,0.0_1836.15_1_false;-1.0003181437809185,9.141029135184239E-5,0.0_-4.0829055829295415E-5,1.8877231516162902E-5,0.0_1836.15_1_false;1.461694212367953,0.7421569935343145,0.0_-0.06900449037761205,0.030338571351597475,0.0_1.0_-1_false;-1.461694212367953,0.7421569935343146,0.0_0.06900449037761207,0.030338571351597482,0.0_1.0_-1_false;
1.0003611419891676,1.1343513548336429E-4,0.0_4.299820824903522E-5,2.202484413152193E-5,0.0_1836.15_1_false;-1.0003611419891676,1.1343513548336431E-4,0.0_-4.299820824903522E-5,2.2024844131521933E-5,0.0_1836.15_1_false;1.3890930730531639,0.7667160759822205,0.0_-0.07260113931478922,0.02455908244790599,0.0_1.0_-1_false;-1.3890930730531639,0.7667160759822207,0.0_0.07260113931478923,0.024559082447906,0.0_1.0_-1_false;
1.0004060756934083,1.388794544017029E-4,0.0_4.493370424079798E-5,2.544431891833862E-5,0.0_1836.15_1_false;-1.0004060756934083,1.3887945440170293E-4,0.0_-4.493370424079798E-5,2.544431891833862E-5,0.0_1836.15_1_false;1.3133228800455772,0.784996489800313,0.0_-0.0757701930075866,0.018280413818092527,0.0_1.0_-1_false;-1.3133228800455772,0.7849964898003132,0.0_0.0757701930075866,0.01828041381809254,0.0_1.0_-1_false;
1.0004526702122885,1.6801338664716863E-4,0.0_4.6594518880149786E-5,2.9133932245465737E-5,0.0_1836.15_1_false;-1.0004526702122885,1.6801338664716866E-4,0.0_-4.6594518880149786E-5,2.9133932245465737E-5,0.0_1836.15_1_false;1.2348904458432588,0.796502220107801,0.0_-0.07843243420231849,0.011505730307488067,0.0_1.0_-1_false;-1.2348904458432588,0.7965022201078014,0.0_0.07843243420231849,0.011505730307488086,0.0_1.0_-1_false;
1.000500605317307,2.011003578179176E-4,0.0_4.793510501835028E-5,3.308697117074897E-5,0.0_1836.15_1_false;-1.000500605317307,2.011003578179176E-4,0.0_-4.793510501835028E-5,3.3086971170748965E-5,0.0_1836.15_1_false;1.1543921343977543,0.8007495779926302,0.0_-0.08049831144550437,0.004247357884829255,0.0_1.0_-1_false;-1.1543921343977543,0.8007495779926307,0.0_0.08049831144550437,0.004247357884829279,0.0_1.0_-1_false;
1.0005495109927744,2.3839068717374954E-4,0.0_4.890567546758405E-5,3.7290329355831945E-5,0.0_1836.15_1_false;-1.0005495109927744,2.3839068717374954E-4,0.0_-4.890567546758404E-5,3.729032935583194E-5,0.0_1836.15_1_false;1.072524568622567,0.7972789397459193,0.0_-0.08186756577518729,-0.003470638246710849,0.0_1.0_-1_false;-1.072524568622567,0.7972789397459199,0.0_0.08186756577518729,-0.003470638246710819,0.0_1.0_-1_false;
1.0005989638330426,2.8011369753779946E-4,0.0_4.945284026811334E-5,4.1723010364049944E-5,0.0_1836.15_1_false;-1.0005989638330426,2.8011369753779946E-4,0.0_-4.9452840268113336E-5,4.172301036404993E-5,0.0_1836.15_1_false;0.9900954485289136,0.785669234265969,0.0_-0.08242912009365341,-0.011609705479950327,0.0_1.0_-1_false;-0.9900954485289136,0.7856692342659696,0.0_0.08242912009365341,-0.011609705479950286,0.0_1.0_-1_false;
1.0006484844980728,3.2646834947773343E-4,0.0_4.9520665030188985E-5,4.635465193993396E-5,0.0_1836.15_1_false;-1.0006484844980728,3.2646834947773343E-4,0.0_-4.952066503018898E-5,4.635465193993395E-5,0.0_1836.15_1_false;0.9080342473169947,0.7655551401064592,0.0_-0.08206120121191897,-0.020114094159509776,0.0_1.0_-1_false;-0.9080342473169947,0.7655551401064599,0.0_0.08206120121191897,-0.020114094159509724,0.0_1.0_-1_false;
1.0006975366668875,3.7761258452327173E-4,0.0_4.9052168814740463E-5,5.114423504553828E-5,0.0_1836.15_1_false;-1.0006975366668875,3.776125845232717E-4,0.0_-4.9052168814740463E-5,5.114423504553826E-5,0.0_1836.15_1_false;0.8274026909827575,0.736646652927594,0.0_-0.08063155633423717,-0.028908487178865152,0.0_1.0_-1_false;-0.8274026909827575,0.7366466529275948,0.0_0.08063155633423717,-0.028908487178865086,0.0_1.0_-1_false;
