Simulation_ID-0_NAME-TEST
Particle Count: 4
-6.0,0.0,0.0_0.0,0.0,0.01_1836.15_1;6.0,0.0,0.0_0.0,0.0,0.01_1836.15_1;-11.0,0.0,0.0_0.0,0.0,0.0_1.0_-1;11.0,0.0,0.0_0.0,0.0,0.0_1.0_-1;
-6.0000715453963265,0.0,0.23999895221778078_-5.760933773630594E-6,0.0,0.00999987283789602_1836.15_1;6.0000715453963265,0.0,0.23999895221778078_5.760933773630594E-6,0.0,0.00999987283789602_1836.15_1;-10.874876017386216,0.0,0.0019238853219369781_0.010080362506279895,0.0,2.3348869723258196E-4_1.0_-1;10.874876017386216,0.0,0.0019238853219369781_-0.010080362506279895,0.0,2.3348869723258196E-4_1.0_-1;
-6.000077553393226,0.0,0.24999881363317797_-6.007996899042247E-6,0.0,0.009999861415397191_1836.15_1;6.000077553393226,0.0,0.24999881363317797_6.007996899042247E-6,0.0,0.009999861415397191_1836.15_1;-10.864362379379623,0.0,0.0021783474403963424_0.010513638006592682,0.0,2.544621184593644E-4_1.0_-1;10.864362379379623,0.0,0.0021783474403963424_-0.01051363800659268,0.0,2.544621184593644E-4_1.0_-1;
-6.000083809346412,0.0,0.25999866308618425_-6.2559531869371015E-6,0.0,0.00999984945300626_1836.15_1;6.000083809346412,0.0,0.25999866308618425_6.2559531869371015E-6,0.0,0.00999984945300626_1836.15_1;-10.85341378094717,0.0,0.0024547743029610983_0.010948598432452558,0.0,2.7642686256475587E-4_1.0_-1;10.85341378094717,0.0,0.0024547743029610983_-0.010948598432452557,0.0,2.7642686256475587E-4_1.0_-1;
-6.0000903141917625,0.0,0.26999850002852377_-6.504845349920543E-6,0.0,0.00999983694233954_1836.15_1;6.0000903141917625,0.0,0.26999850002852377_6.504845349920543E-6,0.0,0.00999983694233954_1836.15_1;-10.84202845683252,0.0,0.0027541726262276887_0.011385324114649962,0.0,2.993983232665904E-4_1.0_-1;10.84202845683252,0.0,0.0027541726262276887_-0.01138532411464996,0.0,2.993983232665904E-4_1.0_-1;
-6.000097068908775,0.0,0.27999832390307633_-6.754717012310675E-6,0.0,0.009999823874552533_1836.15_1;6.000097068908775,0.0,0.27999832390307633_6.754717012310675E-6,0.0,0.009999823874552533_1836.15_1;-10.830204559761384,0.0,0.003077565366608981_0.011823897071135743,0.0,3.2339274038129223E-4_1.0_-1;10.830204559761384,0.0,0.003077565366608981_-0.011823897071135741,0.0,3.2339274038129223E-4_1.0_-1;
-6.000104074521538,0.0,0.28999813414339864_-7.0056127627500475E-6,0.0,0.009999810240322305_1836.15_1;6.000104074521538,0.0,0.28999813414339864_7.0056127627500475E-6,0.0,0.009999810240322305_1836.15_1;-10.817940158657166,0.0,0.0034259925988203814_0.012264401104219152,0.0,3.484272322114002E-4_1.0_-1;10.817940158657166,0.0,0.0034259925988203814_-0.01226440110421915,0.0,3.484272322114002E-4_1.0_-1;
-6.000111332099747,0.0,0.2999979301732273_-7.257578209204304E-6,0.0,0.009999796029828647_1836.15_1;6.000111332099747,0.0,0.2999979301732273_7.257578209204304E-6,0.0,0.009999796029828647_1836.15_1;-10.805233236755006,0.0,0.0038005124289619712_0.012706921902159584,0.0,3.745198301415897E-4_1.0_-1;10.805233236755006,0.0,0.0038005124289619712_-0.012706921902159583,0.0,3.745198301415897E-4_1.0_-1;
-6.000118842759783,0.0,0.3099977114059612_-7.51066003652041E-6,0.0,0.00999978123273394_1836.15_1;6.000118842759783,0.0,0.3099977114059612_7.51066003652041E-6,0.0,0.00999978123273394_1836.15_1;-10.792081689609537,0.0,0.004202201944546552_0.013151547145469705,0.0,4.0168951558458126E-4_1.0_-1;10.792081689609537,0.0,0.004202201944546552_-0.013151547145469704,0.0,4.0168951558458126E-4_1.0_-1;
-6.00012660766585,0.0,0.3199974772441229_-7.764906066729395E-6,0.0,0.009999765838161687_1836.15_1;6.00012660766585,0.0,0.3199974772441229_7.764906066729395E-6,0.0,0.009999765838161687_1836.15_1;-10.778483322991267,0.0,0.004632158203976988_0.013598366618270078,0.0,4.299562594304359E-4_1.0_-1;10.778483322991267,0.0,0.004632158203976988_-0.013598366618270076,0.0,4.299562594304359E-4_1.0_-1;
-6.000134628031172,0.0,0.3299972270787965_-8.02036532229198E-6,0.0,0.009999749834673553_1836.15_1;6.000134628031172,0.0,0.3299972270787965_8.02036532229198E-6,0.0,0.009999749834673553_1836.15_1;-10.764435850666207,0.0,0.005091499268142928_0.014047472325060109,0.0,4.593410641659401E-4_1.0_-1;10.764435850666207,0.0,0.005091499268142928_-0.014047472325060107,0.0,4.593410641659401E-4_1.0_-1;
